location_key,area_sq_km,latitude,longitude
AT_3_304,60,47.816667,16.25
AT_3_305,1187,48.1167,14.8667
AT_3_306,753,48.003333,16.231111
AT_3_307,494,48.02906,16.77899
AT_3_308,1271,48.341,16.718
AT_3_309,786,48.7667,14.9833
AT_3_310,1010,48.649,16.017
AT_3_311,783,48.6639,15.6572
AT_3_312,626,48.392,16.258
AT_3_313,923,48.45,15.567
AT_3_314,931,48.013,15.609
AT_3_315,1013,48.2,15.204
AT_3_316,1291,48.644,16.502
AT_3_317,277,48.095,16.239
AT_3_318,1146,47.7269,16.0817
AT_3_319,1121,48.183,15.667
AT_3_320,1023,48.011,15.089
AT_3_321,734,48.33,15.98
AT_3_322,669,48.844,15.299
AT_3_323,969,47.6225,16.340833
AT_3_325,1399,48.581,15.152
AT_4,11981,48.2,14
AT_4_401,95,48.3,14.283333
AT_4_402,26,48.05,14.416667
AT_4_403,45,48.15,14.016667
AT_4_404,1040,48.131,13.109
AT_4_405,259,48.317,14.006
AT_4_406,993,48.444,14.564
AT_4_407,1432,47.901,13.794
AT_4_408,578,48.246,13.78
AT_4_409,1239,47.884,14.158
AT_4_410,460,48.208,14.24
AT_4_411,611,48.272,14.683
AT_4_412,585,48.241,13.435
AT_4_413,827,48.544,13.973
AT_4_414,618,48.44,13.578
AT_4_415,971,48.014,14.409
AT_4_416,650,48.406944,14.278056
AT_4_417,1084,48.009,13.575
AT_4_418,457,48.129,13.957
AT_5,7156,47.766944,13.364167
AT_5_501,65,47.7972,13.04768
AT_5_502,668,47.65,13.167
AT_5_503,1004,47.867,13.083
AT_5_504,1755,47.35,13.233
AT_5_505,1019,47.116667,13.816667
AT_5_506,2640,47.35,12.7
AT_6,16400,47.25,15.166667
AT_6_601,127,47.070833,15.438611
AT_6_603,863,46.823,15.25
AT_6_606,1100,47.062,15.415
AT_6_610,726,46.782,15.533
AT_6_611,1052,47.41,14.977
AT_6_612,3317,47.527,14.116
AT_6_614,1384,47.117,14.283
AT_6_616,679,47.05,15.114
AT_6_617,1098,47.219,15.69
AT_6_620,1675,47.1725,14.660278
AT_6_621,2155,47.4167,15.2667
AT_6_622,1228,47.2667,15.9667
AT_6_623,1009,46.95,15.8833
AT_7,12647,47.266667,11.4
AT_7_701,1990,47.2,11.4
AT_7_702,1724,47.1,10.9
AT_7_703,1990,47.2,11.4
AT_7_704,1163,47.5,12.4
AT_7_705,969,47.5,12.1
AT_7_706,1594,47.1,10.5
AT_7_707,2019,46.885278,12.551389
AT_7_708,1236,47.4,10.5
AT_7_709,1843,47.4,11.8
AT_8,2601,47.243611,9.893889
AT_8_801,1287,47.1,9.9
AT_8_802,863,47.4,10
AT_8_803,172,47.416667,9.75
AT_8_804,278,47.279,9.664
AT_9,414,48.208333,16.3725
AT_9_900,414,48.208333,16.3725
AU,7741220,-28,137
AU_ACT,2358,-35.45,148.980556
AU_NSW,801150,-32,147
AU_NT,1347791,-20,133
AU_QLD,1729742,-20,143
AU_SA,984321,-30,135
AU_TAS,68401,-42,147
AU_VIC,227444,-37,144
AU_WA,2527013,-26,121
